time,event,working,spares,broken,repair_queue,busy_repairers,good_machines
1.9471860169745714,failure,10,2,1,0,1,12
4.396109058031424,repair_complete,10,3,0,0,0,13
33.92384793983403,failure,10,2,1,0,1,12
34.126433917781235,repair_complete,10,3,0,0,0,13
35.59332818050892,failure,10,2,1,0,1,12
37.05234039179768,repair_complete,10,3,0,0,0,13
49.3234167163084,failure,10,2,1,0,1,12
50.98478007694679,repair_complete,10,3,0,0,0,13
53.82891198314606,failure,10,2,1,0,1,12
55.384575973677165,repair_complete,10,3,0,0,0,13
64.00699210596817,failure,10,2,1,0,1,12
65.36887372066872,repair_complete,10,3,0,0,0,13
103.55338054197617,failure,10,2,1,0,1,12
104.06739562111275,failure,10,1,2,1,1,11
108.44966521130365,repair_complete,10,2,1,0,1,12
108.79566605577376,repair_complete,10,3,0,0,0,13
111.66623624138464,failure,10,2,1,0,1,12
111.98391361899708,repair_complete,10,3,0,0,0,13
128.99255865672794,failure,10,2,1,0,1,12
129.8748333230117,repair_complete,10,3,0,0,0,13
135.32490414628379,failure,10,2,1,0,1,12
135.779421434116,repair_complete,10,3,0,0,0,13
138.15148161049095,failure,10,2,1,0,1,12
139.4041209204754,repair_complete,10,3,0,0,0,13
142.0093600391377,failure,10,2,1,0,1,12
142.2235363912652,repair_complete,10,3,0,0,0,13
147.63140079825186,failure,10,2,1,0,1,12
148.97018605071625,repair_complete,10,3,0,0,0,13
153.97235439895059,failure,10,2,1,0,1,12
154.45927694474784,repair_complete,10,3,0,0,0,13
183.2834091922304,failure,10,2,1,0,1,12
184.59837079508685,repair_complete,10,3,0,0,0,13
188.27890643406963,failure,10,2,1,0,1,12
189.9601521588266,failure,10,1,2,1,1,11
190.061842423898,repair_complete,10,2,1,0,1,12
190.8973373907369,repair_complete,10,3,0,0,0,13
192.7458223313339,failure,10,2,1,0,1,12
193.2015705202335,repair_complete,10,3,0,0,0,13
205.37653670720317,failure,10,2,1,0,1,12
205.6701689648835,repair_complete,10,3,0,0,0,13
213.78207243477866,failure,10,2,1,0,1,12
216.46857214119743,repair_complete,10,3,0,0,0,13
226.68981790037688,failure,10,2,1,0,1,12
227.1757126140899,repair_complete,10,3,0,0,0,13
229.88753868086977,failure,10,2,1,0,1,12
230.60861708437025,repair_complete,10,3,0,0,0,13
232.24295428423977,failure,10,2,1,0,1,12
234.21451470263798,repair_complete,10,3,0,0,0,13
239.44733974207514,failure,10,2,1,0,1,12
239.45438252258563,repair_complete,10,3,0,0,0,13
241.1905988326421,failure,10,2,1,0,1,12
241.68499920133496,failure,10,1,2,1,1,11
242.34781029929195,repair_complete,10,2,1,0,1,12
242.58747737455937,repair_complete,10,3,0,0,0,13
252.76849278364307,failure,10,2,1,0,1,12
252.90207180786098,failure,10,1,2,1,1,11
254.5406472027181,failure,10,0,3,2,1,10
254.7173280079389,repair_complete,10,1,2,1,1,11
255.27665408756735,repair_complete,10,2,1,0,1,12
255.28000338424363,repair_complete,10,3,0,0,0,13
256.88243796264544,failure,10,2,1,0,1,12
259.4953165777852,repair_complete,10,3,0,0,0,13
260.302284273602,failure,10,2,1,0,1,12
261.2865557148618,failure,10,1,2,1,1,11
261.8001856131692,repair_complete,10,2,1,0,1,12
262.1821087668322,repair_complete,10,3,0,0,0,13
299.20909542457673,failure,10,2,1,0,1,12
299.5072857456653,repair_complete,10,3,0,0,0,13
308.3899451521985,failure,10,2,1,0,1,12
308.9916793724338,repair_complete,10,3,0,0,0,13
321.11770198646667,failure,10,2,1,0,1,12
321.7100510314027,repair_complete,10,3,0,0,0,13
341.82406139219455,failure,10,2,1,0,1,12
344.7951639705946,repair_complete,10,3,0,0,0,13
349.7559779932898,failure,10,2,1,0,1,12
349.92356597349533,failure,10,1,2,1,1,11
352.39763878226404,failure,10,0,3,2,1,10
354.8350981811329,repair_complete,10,1,2,1,1,11
357.59963358590375,repair_complete,10,2,1,0,1,12
358.3726442653546,failure,10,1,2,1,1,11
358.6565677013806,repair_complete,10,2,1,0,1,12
358.91586506705585,repair_complete,10,3,0,0,0,13
369.5927771948176,failure,10,2,1,0,1,12
369.64238053662416,repair_complete,10,3,0,0,0,13
376.7278051627,failure,10,2,1,0,1,12
376.8500026034331,repair_complete,10,3,0,0,0,13
384.65272425158616,failure,10,2,1,0,1,12
384.88316069246247,repair_complete,10,3,0,0,0,13
386.81637647329546,failure,10,2,1,0,1,12
387.3032290329453,repair_complete,10,3,0,0,0,13
400.58776886283385,failure,10,2,1,0,1,12
401.9206815270013,repair_complete,10,3,0,0,0,13
404.6080951644409,failure,10,2,1,0,1,12
404.6801744359659,repair_complete,10,3,0,0,0,13
426.0306094111048,failure,10,2,1,0,1,12
426.17648470032736,repair_complete,10,3,0,0,0,13
428.2874807960795,failure,10,2,1,0,1,12
430.09259957797923,repair_complete,10,3,0,0,0,13
474.4647251824047,failure,10,2,1,0,1,12
474.7031961534392,repair_complete,10,3,0,0,0,13
481.54702732050214,failure,10,2,1,0,1,12
483.20425458291993,failure,10,1,2,1,1,11
484.1026481767089,repair_complete,10,2,1,0,1,12
485.3079906655381,repair_complete,10,3,0,0,0,13
493.886268617841,failure,10,2,1,0,1,12
494.51331844599844,repair_complete,10,3,0,0,0,13
498.84585343924164,failure,10,2,1,0,1,12
498.9535704460152,repair_complete,10,3,0,0,0,13
499.9348685725573,failure,10,2,1,0,1,12
501.1661580017297,repair_complete,10,3,0,0,0,13
501.29695106102866,failure,10,2,1,0,1,12
502.1115083561298,repair_complete,10,3,0,0,0,13
516.63951050764,failure,10,2,1,0,1,12
517.4815937348895,repair_complete,10,3,0,0,0,13
519.2869497258082,failure,10,2,1,0,1,12
519.6295707458153,repair_complete,10,3,0,0,0,13
524.8771981902618,failure,10,2,1,0,1,12
525.223184936774,repair_complete,10,3,0,0,0,13
535.1165075507953,failure,10,2,1,0,1,12
535.3855190225078,repair_complete,10,3,0,0,0,13
553.9124396586045,failure,10,2,1,0,1,12
554.1419507485456,repair_complete,10,3,0,0,0,13
558.8545224201397,failure,10,2,1,0,1,12
561.4316473061759,repair_complete,10,3,0,0,0,13
567.0524026704363,failure,10,2,1,0,1,12
567.4260661066363,repair_complete,10,3,0,0,0,13
575.0092809696857,failure,10,2,1,0,1,12
575.2771212329509,repair_complete,10,3,0,0,0,13
578.0500352265084,failure,10,2,1,0,1,12
578.2088552402845,repair_complete,10,3,0,0,0,13
578.8271770056396,failure,10,2,1,0,1,12
581.3123682154882,repair_complete,10,3,0,0,0,13
589.8885136842132,failure,10,2,1,0,1,12
590.4483437183602,repair_complete,10,3,0,0,0,13
591.0903622015031,failure,10,2,1,0,1,12
594.2742432335584,repair_complete,10,3,0,0,0,13
601.6608788893724,failure,10,2,1,0,1,12
602.570088513126,repair_complete,10,3,0,0,0,13
613.1441425544591,failure,10,2,1,0,1,12
616.2011360409616,failure,10,1,2,1,1,11
616.3146794695137,repair_complete,10,2,1,0,1,12
616.5542594519524,repair_complete,10,3,0,0,0,13
634.1257537717198,failure,10,2,1,0,1,12
637.0923478529145,repair_complete,10,3,0,0,0,13
641.1476329449422,failure,10,2,1,0,1,12
642.6839640215485,repair_complete,10,3,0,0,0,13
656.1328269688315,failure,10,2,1,0,1,12
657.6508723076513,repair_complete,10,3,0,0,0,13
672.8644783833321,failure,10,2,1,0,1,12
673.5469308429745,repair_complete,10,3,0,0,0,13
679.3996629708674,failure,10,2,1,0,1,12
680.0028458182475,repair_complete,10,3,0,0,0,13
684.0778998930672,failure,10,2,1,0,1,12
684.4831235736938,failure,10,1,2,1,1,11
685.3733868880242,repair_complete,10,2,1,0,1,12
686.4626085203688,repair_complete,10,3,0,0,0,13
709.553020627924,failure,10,2,1,0,1,12
709.8024817452454,repair_complete,10,3,0,0,0,13
713.2997395610034,failure,10,2,1,0,1,12
713.3908493547792,repair_complete,10,3,0,0,0,13
715.3824268876697,failure,10,2,1,0,1,12
715.552387119032,repair_complete,10,3,0,0,0,13
718.5945091517502,failure,10,2,1,0,1,12
719.6870995579332,repair_complete,10,3,0,0,0,13
721.0925349747818,failure,10,2,1,0,1,12
721.9558005398279,repair_complete,10,3,0,0,0,13
728.3789331980164,failure,10,2,1,0,1,12
728.4251985070795,repair_complete,10,3,0,0,0,13
732.2680629934665,failure,10,2,1,0,1,12
732.9308018376142,repair_complete,10,3,0,0,0,13
757.8683807199017,failure,10,2,1,0,1,12
758.342258993195,repair_complete,10,3,0,0,0,13
771.1575932334812,failure,10,2,1,0,1,12
771.1741347749444,repair_complete,10,3,0,0,0,13
786.1202345240343,failure,10,2,1,0,1,12
786.542840286399,repair_complete,10,3,0,0,0,13
797.9735571309614,failure,10,2,1,0,1,12
798.7968124310339,repair_complete,10,3,0,0,0,13
824.4264410184542,failure,10,2,1,0,1,12
824.8881559034281,repair_complete,10,3,0,0,0,13
826.9499812062166,failure,10,2,1,0,1,12
827.8971199273867,repair_complete,10,3,0,0,0,13
831.1185197765149,failure,10,2,1,0,1,12
831.336648275618,repair_complete,10,3,0,0,0,13
832.4347893150047,failure,10,2,1,0,1,12
832.7371320771224,repair_complete,10,3,0,0,0,13
836.2821343722277,failure,10,2,1,0,1,12
836.529879068878,failure,10,1,2,1,1,11
837.0714112873638,repair_complete,10,2,1,0,1,12
839.2759715338839,repair_complete,10,3,0,0,0,13
856.4522567598251,failure,10,2,1,0,1,12
857.6713819205512,repair_complete,10,3,0,0,0,13
860.858576475974,failure,10,2,1,0,1,12
861.9465714331242,repair_complete,10,3,0,0,0,13
868.5702777716899,failure,10,2,1,0,1,12
869.0177860903939,repair_complete,10,3,0,0,0,13
891.7499757362804,failure,10,2,1,0,1,12
892.7509117126441,repair_complete,10,3,0,0,0,13
907.1281569394429,failure,10,2,1,0,1,12
909.2427900966081,repair_complete,10,3,0,0,0,13
934.9170844567839,failure,10,2,1,0,1,12
935.2528353790348,repair_complete,10,3,0,0,0,13
943.0450690373324,failure,10,2,1,0,1,12
943.1269946601161,repair_complete,10,3,0,0,0,13
966.8860529794699,failure,10,2,1,0,1,12
967.4566669641922,repair_complete,10,3,0,0,0,13
977.3450911149091,failure,10,2,1,0,1,12
978.9572462142742,repair_complete,10,3,0,0,0,13
983.7423794525042,failure,10,2,1,0,1,12
983.9553379567977,repair_complete,10,3,0,0,0,13
988.9097875101868,failure,10,2,1,0,1,12
