N,S,repairers,runs,mean_crash_time,std_crash_time,analytic_crash_time,mean_repair_queue,repairer_utilization
5,1,1,20,438.6780207068176,412.2218378463261,439.99999999999903,0.0,0.07239143559213344
5,1,2,20,349.70743115289105,317.45331945073576,439.99999999999903,0.0,0.02209689471495266
5,3,1,20,182977.32258761468,186027.73358876357,177279.99999987095,0.002589794598874041,0.04982333453464966
5,3,2,20,431297.3866837357,275321.13383664854,690079.9999975525,3.019587674835579e-5,0.02499762229304987
10,1,1,20,115.94626184467754,92.78184583654719,119.99999999999996,0.0,0.08729596157439803
10,1,2,20,110.97651162931018,119.92700792049386,119.99999999999996,0.0,0.05197738493781601
10,3,1,20,13106.328853970594,12597.37824567388,12339.99999999653,0.011520075125363103,0.10144533928765864
10,3,2,20,39111.24839013271,27909.256827689947,46539.99999996686,0.0002879299321991255,0.04974315329620682
15,1,1,20,59.62961578388704,56.91585948241515,57.77777777777778,0.0,0.12500300559257316
15,1,2,20,34.71233916499708,26.94774660319153,57.77777777777778,0.0,0.0808071324199376
15,3,1,20,2602.4516365177815,2356.090295218167,2727.9012345680135,0.025058384166666108,0.1498038405651751
15,3,2,20,9349.970883788055,7652.163161337338,9927.901234567202,0.0008200137720670179,0.07837048025461323
